frequency,penh,rt,mv,te,ti,eip
134.2072612,0.331563897,0.2107979,225.8292102,0.3210697,0.126,8
94.37865029,0.328261854,0.3180402,196.0998752,0.4659949,0.1697421,6
98.66343928,0.210667335,0.3236349,200.5273953,0.4221229,0.1860051,6
129.3338981,0.277826734,0.2173413,272.5398409,0.3099155,0.154,8
108.2867324,0.157492749,0.2927071,228.5873226,0.38,0.1740845,8
68.49315068,0.442146791,0.387101,492.5404989,0.474,0.402,6
116.3114837,0.143974559,0.2924216,213.331096,0.3678452,0.148011,6
117.9666327,0.189192885,0.2623691,217.2617277,0.3424636,0.1661548,6
121.3246222,0.181780011,0.2558499,216.9077692,0.3350046,0.1595364,6
113.8656909,0.131195049,0.2969176,210.6643739,0.3844916,0.142445,6
110.860177,0.119692938,0.3114593,203.5453353,0.3797139,0.1615084,8
132.3182466,0.113217646,0.256959,231.508913,0.3171661,0.1362861,6
123.8295527,0.190210224,0.2454824,226.605911,0.3137031,0.1708339,6
130.68661,0.177201711,0.2335607,234.9093274,0.2988167,0.1602969,6
142.6012076,0.070038095,0.2503052,245.236172,0.2855705,0.1351833,6
181.368772,0.067362836,0.1645016,329.8483264,0.1803882,0.1504295,6
135.1598536,0.116031758,0.2486991,244.5426305,0.298307,0.1456118,6
121.8248634,0.073646007,0.2937846,255.6721672,0.3328173,0.159693,6
135.2231825,0.142414771,0.2319355,248.3776965,0.2825282,0.1611827,6
136.5275315,0.127353773,0.2276963,248.0431981,0.276,0.1634718,8
139.7639015,0.142056095,0.2239448,249.205587,0.2752954,0.154,6
128.1293457,0.243222795,0.2271707,214.516125,0.3175722,0.1507046,6
123.2069285,0.246684037,0.2376137,202.0491148,0.3445578,0.1424278,6
121.2705025,0.398142447,0.2200597,192.5808004,0.3373195,0.1574422,6
124.371071,0.127575653,0.2737209,198.0934186,0.3557468,0.1266805,6
110.8223368,0.127031659,0.3198603,191.7260077,0.4031539,0.1382532,8
132.3493016,0.076297612,0.2608946,203.172673,0.3024997,0.1508461,8
116.4516936,0.309874969,0.2383802,195.0251703,0.335734,0.1795011,8
98.682344,0.458029784,0.2807635,169.5606378,0.4611413,0.1468702,8
134.0925055,0.063556894,0.2491875,256.9300293,0.2725936,0.1748587,6
109.7310601,0.324122946,0.2428315,192.7113569,0.3568218,0.1899696,8
130.5158443,0.270291157,0.2139124,210.3947709,0.2990866,0.1606277,6
91.1075812,0.604041411,0.2858999,169.2588395,0.4565621,0.202,6
104.3090775,0.193968349,0.3044639,216.0030903,0.3857757,0.1894379,6
121.7783537,0.084161279,0.2666878,265.646628,0.2964741,0.1962243,8
129.0256542,0.282038016,0.1953863,252.0688254,0.2580485,0.2069753,6
72.09988141,2.984946979,0.1771912,143.6415111,0.6347548,0.1974241,8
124.3802495,0.118576243,0.242741,248.5707632,0.2811465,0.2012452,8
160.3357645,0.013963447,0.1956865,347.1022053,0.1993612,0.1748535,6
151.143476,0.253471857,0.1840644,329.5745254,0.2595873,0.1373865,8
106.2786975,0.201237913,0.293386,241.8010497,0.3901407,0.1744127,8
98.77978972,0.267475442,0.294441,201.4471222,0.4055524,0.2018593,6
129.6189441,0.110940667,0.2322027,243.7409756,0.2724477,0.1904476,8
175.7331293,0.340867211,0.1377257,443.2522875,0.2,0.1414268,8
239.1738934,0.227053704,0.1049071,307.2653503,0.126,0.1248635,8
105.3876262,0.308601994,0.2824436,195.6156765,0.3812246,0.1881022,6
125.845419,0.082017729,0.2562351,256.1136473,0.284,0.1927754,8
277.7777778,0.509337142,0.0691485,1153.670381,0.1,0.116,6
113.3188348,0.248522971,0.2702529,164.4639765,0.3502893,0.1791902,8
118.0204663,0.181397784,0.2580547,169.237962,0.3206757,0.1877107,6
110.2063982,0.229325614,0.2623038,164.9889389,0.3391087,0.2053243,8
109.9551768,0.225880268,0.2635261,169.1272786,0.3387856,0.2068913,8
102.8891443,0.269550027,0.2838455,158.375933,0.3779375,0.2052144,6
112.0376417,0.208877659,0.2644945,178.2051884,0.3334718,0.2020625,8
109.0085383,0.240412899,0.2730979,176.305792,0.3558874,0.1945282,8
102.0153472,0.254080484,0.2871286,166.9106514,0.3760342,0.2121126,6
108.2419576,0.200047205,0.2878045,169.0982593,0.3723479,0.1819658,8
124.5163836,0.104478926,0.2660185,188.7988519,0.3122122,0.1696521,8
145.0018584,0.138311907,0.2197846,175.8648552,0.284,0.1297878,8
118.6115099,0.103636291,0.2883609,179.0319039,0.3418531,0.164,8
116.5328901,0.206850935,0.2565018,178.8309798,0.3267292,0.1881469,8
157.6769352,0.088436109,0.2205525,168.1359336,0.2633256,0.1171993,10
88.45973468,0.594197406,0.2864721,126.0764898,0.5286091,0.1496656,8
102.4348945,0.307380124,0.2854407,139.1078986,0.404347,0.1813909,8
140.3006643,0.135704914,0.2230788,195.8805281,0.264,0.163653,6
118.0171699,0.200940457,0.2626332,182.4433115,0.3408144,0.1675862,6
112.7819549,0.219276937,0.2920651,274.8430876,0.392,0.14,8
39.99788545,3.780080542,0.4050725,280.9412127,1.1820793,0.318,8
105.1993001,0.544053469,0.2270575,162.6600438,0.3665971,0.2037489,6
105.3648997,0.354161905,0.241619,182.4740937,0.3520467,0.2174029,6
112.9238951,0.195536042,0.2527444,223.3715276,0.317378,0.2139533,6
114.8540339,0.08944359,0.2768715,236.6231542,0.3077802,0.214622,6
118.759956,0.168579575,0.2430339,219.142941,0.301001,0.2042198,6
112.5888819,0.256608967,0.2533199,196.1549364,0.3479133,0.184999,6
102.9419435,0.271704744,0.2861969,188.9984202,0.3807661,0.2020867,6
109.2664904,0.387739781,0.2474366,196.570104,0.3458823,0.2032339,8
109.8470563,0.275060656,0.262061,207.8404654,0.3360963,0.2101177,6
107.4416601,0.245318289,0.2676887,208.5046337,0.3385389,0.2199037,6
112.85374,0.341481534,0.2376287,209.5106802,0.3282005,0.2034611,6
119.0949971,0.204612037,0.2572632,197.2793748,0.344,0.1597995,6
107.7625108,0.249205557,0.2719119,202.0086752,0.3487799,0.208,8
123.4895936,0.185867006,0.2523755,198.6042485,0.3186508,0.1672201,8
115.4749079,0.16802931,0.273425,191.3421897,0.3342442,0.1853492,6
122.3382759,0.168574306,0.2559316,193.1605622,0.3246876,0.1657558,6
119.2091901,0.09598059,0.2683413,212.1941724,0.3040045,0.1993124,6
137.0778744,0.0928427,0.2188901,238.2816061,0.2497119,0.1879955,8
116.689768,0.512945058,0.2301892,188.9801615,0.3740211,0.1401628,8
99.50022694,0.736841338,0.2354623,168.8876858,0.4230348,0.1799789,6
90.97511679,0.989278333,0.2438988,151.6510515,0.448,0.211521,6
106.126863,0.383893497,0.2572544,175.8314442,0.3693611,0.196,6
107.3395377,0.333848491,0.2507782,193.0921862,0.332335,0.2266389,6
107.0013669,0.244154518,0.2681412,204.8361315,0.3370755,0.223665,6
103.2836453,0.326783563,0.2564187,188.996808,0.346,0.2349245,6
107.1926251,0.498803493,0.2168416,192.3034255,0.31974,0.24,6
110.8672033,0.271821994,0.2408033,199.5863725,0.324928,0.21626,6
112.4859603,0.302248225,0.2232133,213.9832693,0.3063279,0.227072,6
113.1551329,0.231048852,0.2577664,219.2254313,0.3365734,0.1936721,6
125.1641215,0.132874798,0.2632218,202.9677052,0.327944,0.1514266,6
101.6852638,0.282400018,0.2917423,183.8630332,0.392,0.198056,6
99.81980861,0.374977497,0.272029,178.7998973,0.3730831,0.228,6
95.10218968,0.347761343,0.2865489,170.9282985,0.3939834,0.2369169,8
92.15957061,0.301598285,0.312527,189.9955836,0.4070281,0.2440166,6
114.0445914,0.213050535,0.2387957,209.5918122,0.2991381,0.2269719,6
113.5674059,0.246696573,0.2475993,208.5764194,0.3254587,0.2028619,6
107.8087107,0.283779553,0.2526557,216.2925932,0.318,0.2385413,6
120.9794984,0.263500568,0.2234978,210.9739455,0.2999518,0.196,6
108.9146851,0.342231467,0.2246521,176.304477,0.2968417,0.2540482,6
105.3766134,0.265885054,0.2591998,185.1266061,0.342228,0.2271583,6
109.0692737,0.204401938,0.2637448,205.0538695,0.3303371,0.219772,6
106.008603,0.263011515,0.2753114,208.1990263,0.3523289,0.2136629,6
100.3346831,0.28192841,0.2701922,190.9357499,0.3583275,0.2396711,6
108.2353187,0.242344141,0.2584841,192.2790433,0.3326752,0.2216725,6
104.4264092,0.253166574,0.2521745,187.5159013,0.3272425,0.2473248,8
110.5466069,0.22599934,0.2416409,209.1952083,0.304,0.2387575,6
107.0695718,0.394187981,0.2360021,209.9939575,0.3243833,0.236,6
94.39651287,0.342628552,0.2754102,176.8941586,0.364,0.2716167,8
105.535922,0.241957163,0.2550175,190.0970417,0.3205268,0.248,8
103.0292488,0.330122033,0.249971,195.5031537,0.3308857,0.2514732,6
98.00454578,0.475859164,0.2555256,183.7761684,0.3711022,0.2411143,8
127.1467672,0.218810852,0.1836939,210.0279249,0.2209978,0.2508978,6
142.6032751,0.105509817,0.2162093,229.581335,0.2517455,0.1690022,6
