,time,x,y,z,magnitude
0,0.09336000000000001,5396.0,2618.0,-14128.0,0.09336000000000001
1,0.09336000000000001,5460.0,2884.0,-14685.0,0.09336000000000001
2,0.09336000000000001,5558.0,2827.0,-14574.0,0.09336000000000001
3,0.109016,5410.0,2675.0,-14393.0,0.109016
4,0.109016,5544.0,2809.0,-14625.0,0.109016
5,0.12463700000000001,5612.0,2936.0,-14507.0,0.12463700000000001
6,0.12463700000000001,5630.0,2608.0,-14736.0,0.12463700000000001
7,0.14025800000000002,5630.0,2627.0,-14482.0,0.14025800000000002
8,0.14025800000000002,5667.0,2840.0,-14763.0,0.14025800000000002
9,0.14025800000000002,5592.0,2787.0,-14555.0,0.14025800000000002
10,0.15588400000000002,5779.0,2883.0,-14403.0,0.15588400000000002
11,0.218677,5753.0,2659.0,-14530.0,0.218677
12,0.43706700000000004,5767.0,2592.0,-14465.0,0.43706700000000004
13,0.499906,5636.0,2859.0,-14719.0,0.499906
14,0.6716840000000001,5562.0,2772.0,-14923.0,0.6716840000000001
15,0.7182550000000001,5605.0,2688.0,-14434.0,0.7182550000000001
16,0.765402,5629.0,2789.0,-14338.0,0.765402
17,0.827882,5773.0,2690.0,-14595.0,0.827882
18,1.077844,5903.0,3008.0,-15119.0,1.077844
19,1.140333,5543.0,2546.0,-14476.0,1.140333
20,1.218466,5620.0,2733.0,-14697.0,1.218466
21,1.37461,5645.0,2767.0,-15090.0,1.37461
22,1.4367990000000002,5621.0,2712.0,-14429.0,1.4367990000000002
23,1.60905,5486.0,2935.0,-14630.0,1.60905
24,1.6558840000000001,5679.0,2559.0,-14499.0,1.6558840000000001
25,1.7336360000000002,5426.0,2905.0,-14614.0,1.7336360000000002
26,1.8901500000000002,5668.0,2682.0,-14583.0,1.8901500000000002
27,1.983578,5465.0,2714.0,-14290.0,1.983578
28,2.0306740000000003,5472.0,2725.0,-14631.0,2.0306740000000003
29,2.2026060000000003,5689.0,2851.0,-14879.0,2.2026060000000003
30,2.249142,5538.0,2650.0,-14576.0,2.249142
31,2.311626,5444.0,2883.0,-14519.0,2.311626
32,2.3430020000000003,5688.0,2771.0,-14509.0,2.3430020000000003
33,2.4209870000000002,5510.0,2819.0,-14495.0,2.4209870000000002
34,2.561789,5421.0,2743.0,-14937.0,2.561789
35,2.671195,5631.0,2658.0,-14711.0,2.671195
36,2.858382,5721.0,2716.0,-15032.0,2.858382
37,3.1398260000000002,5730.0,2728.0,-15183.0,3.1398260000000002
38,3.170763,5533.0,2627.0,-14831.0,3.170763
39,3.280402,5456.0,2821.0,-14315.0,3.280402
40,3.3426020000000003,5408.0,2797.0,-14308.0,3.3426020000000003
41,3.451989,5535.0,2746.0,-14497.0,3.451989
42,3.514638,5603.0,2734.0,-14691.0,3.514638
43,3.5772220000000003,5501.0,2707.0,-14900.0,3.5772220000000003
44,3.677499,5640.0,2841.0,-14637.0,3.677499
45,3.7712830000000004,5760.0,2762.0,-14804.0,3.7712830000000004
46,3.865276,5472.0,2659.0,-14415.0,3.865276
47,4.13081,5737.0,2679.0,-14788.0,4.13081
48,4.146151000000001,5580.0,2729.0,-14583.0,4.146151000000001
49,4.193306000000001,5600.0,2982.0,-14707.0,4.193306000000001
50,4.349538,5671.0,2520.0,-15033.0,4.349538
51,4.427386,5384.0,2639.0,-14758.0,4.427386
52,4.458624,5648.0,2640.0,-14550.0,4.458624
53,4.521475000000001,5487.0,2839.0,-14616.0,4.521475000000001
54,4.583655,5456.0,2741.0,-14783.0,4.583655
55,4.740055,5595.0,2921.0,-14711.0,4.740055
56,4.833889,5595.0,3035.0,-14222.0,4.833889
57,4.974117000000001,5595.0,2593.0,-14246.0,4.974117000000001
58,5.083748,5671.0,2670.0,-14587.0,5.083748
59,5.130634000000001,5634.0,2916.0,-14791.0,5.130634000000001
60,5.302484000000001,5679.0,2930.0,-14968.0,5.302484000000001
61,5.302484000000001,5375.0,2898.0,-14727.0,5.302484000000001
62,5.364660000000001,5383.0,2686.0,-14186.0,5.364660000000001
63,5.427418,5631.0,2998.0,-14566.0,5.427418
64,5.521133000000001,5645.0,2860.0,-14841.0,5.521133000000001
65,5.630485,5323.0,2650.0,-14431.0,5.630485
66,5.708563000000001,5385.0,2881.0,-14260.0,5.708563000000001
67,5.755186,5610.0,2558.0,-14883.0,5.755186
68,5.9116740000000005,5427.0,2719.0,-14932.0,5.9116740000000005
69,6.036368,5549.0,2439.0,-15213.0,6.036368
70,6.083500000000001,5703.0,2955.0,-14892.0,6.083500000000001
71,6.241621,5755.0,2666.0,-14566.0,6.241621
72,6.35114,5429.0,2324.0,-14470.0,6.35114
73,6.429221,5935.0,2363.0,-14203.0,6.429221
74,6.582576,5978.0,2246.0,-14546.0,6.582576
75,6.645063,5420.0,2040.0,-13731.0,6.645063
76,6.723206,5832.0,2212.0,-15122.0,6.723206
77,6.851323000000001,6047.0,2710.0,-14316.0,6.851323000000001
78,6.882601,5963.0,2485.0,-14400.0,6.882601
79,6.9762960000000005,5785.0,2410.0,-14514.0,6.9762960000000005
80,7.03908,5917.0,1863.0,-14509.0,7.03908
81,7.070336,6063.0,2816.0,-14514.0,7.070336
82,7.185659,5789.0,2008.0,-15463.0,7.185659
83,7.248134,5648.0,2818.0,-15073.0,7.248134
84,7.294719000000001,6009.0,2345.0,-13846.0,7.294719000000001
85,7.357522,7325.0,2606.0,-13955.0,7.357522
86,7.498030000000001,6637.0,2227.0,-15299.0,7.498030000000001
87,7.560555000000001,7193.0,2111.0,-14266.0,7.560555000000001
88,7.591804000000001,6636.0,3137.0,-14487.0,7.591804000000001
89,7.623035000000001,8127.0,887.0,-13345.0,7.623035000000001
90,7.763689,7579.0,268.0,-12749.0,7.763689
91,7.826063,7971.0,1287.0,-12283.0,7.826063
92,7.888652,9034.0,1766.0,-12277.0,7.888652
93,7.919791000000001,9856.0,2552.0,-13812.0,7.919791000000001
94,8.066035000000001,10031.0,1956.0,-13063.0,8.066035000000001
95,8.253909,9536.0,1327.0,-12702.0,8.253909
96,8.410031,9041.0,404.0,-13193.0,8.410031
97,8.488037,8650.0,661.0,-13744.0,8.488037
98,8.534727,9511.0,-1101.0,-10368.0,8.534727
99,8.628619,9414.0,1318.0,-14474.0,8.628619
100,8.73776,10101.0,1278.0,-12097.0,8.73776
101,8.863062000000001,10335.0,2429.0,-13062.0,8.863062000000001
102,8.925249,10156.0,108.0,-13320.0,8.925249
103,9.11271,8467.0,30.0,-12835.0,9.11271
104,9.159867,10119.0,-718.0,-12610.0,9.159867
105,9.222307,9565.0,-34.0,-13472.0,9.222307
106,9.3472,9385.0,307.0,-12258.0,9.3472
107,9.409476,9838.0,-803.0,-12120.0,9.409476
108,9.628464000000001,10936.0,-1376.0,-11922.0,9.628464000000001
109,9.831253,10568.0,-1075.0,-11450.0,9.831253
110,9.972095000000001,10337.0,-1051.0,-12048.0,9.972095000000001
111,9.972095000000001,10698.0,-921.0,-11561.0,9.972095000000001
112,10.003441,9504.0,-461.0,-13629.0,10.003441
113,10.081231,9489.0,873.0,-13391.0,10.081231
