time,sensor_id,port,axes_x,axes_y,axes_z,temperature
11:47.7,29,1,384,-3632,-1696,0
11:47.8,29,2,368,-304,4128,0
11:47.8,30,1,0,0,0,0
11:47.8,31,1,0,0,0,0
11:47.8,30,2,-1872,738,3728,0
11:47.8,31,2,0,0,0,0
11:47.8,73,1,0,0,0,0
11:47.8,73,2,0,0,0,8588
11:47.8,105,1,5460,2884,-14685,0
11:47.8,29,1,416,-3696,-1744,0
11:47.8,29,2,144,-160,3968,0
11:47.8,30,1,0,0,0,0
11:47.8,31,1,0,0,0,0
11:47.8,30,2,-1680,818,3680,0
11:47.8,31,2,0,0,0,0
11:47.8,73,1,0,0,0,0
11:47.8,73,2,0,0,0,8584
11:47.8,105,1,5558,2827,-14574,0
11:47.8,29,1,464,-3632,-1712,0
11:47.8,29,2,208,-160,3856,0
11:47.8,30,1,0,0,0,0
11:47.8,31,1,0,0,0,0
11:47.8,30,2,-1760,866,3456,0
11:47.8,31,2,0,0,0,0
11:47.8,73,1,0,0,0,0
11:47.8,73,2,0,0,0,8584
11:47.8,105,1,5396,2618,-14128,0
11:47.8,29,1,464,-3568,-1872,0
11:47.8,29,2,304,-144,3920,0
11:47.8,30,1,0,0,0,0
11:47.8,31,1,0,0,0,0
11:47.8,30,2,-1936,706,3664,0
11:47.8,31,2,0,0,0,0
11:47.8,73,1,0,0,0,0
11:47.8,73,2,0,0,0,8584
11:47.8,30,2,-1728,658,3712,0
11:47.8,31,2,0,0,0,0
11:47.8,73,1,0,0,0,0
11:47.8,73,2,0,0,0,8588
11:47.8,105,1,5544,2809,-14625,0
11:47.8,29,1,512,-3712,-1904,0
11:47.8,29,2,192,-176,4064,0
11:47.8,30,1,0,0,0,0
11:47.8,31,1,0,0,0,0
11:47.8,30,2,-1792,754,3696,0
11:47.8,31,2,0,0,0,0
11:47.8,73,1,0,0,0,0
11:47.8,73,2,0,0,0,8588
11:47.8,105,1,5410,2675,-14393,0
11:47.8,29,1,496,-3648,-1744,0
11:47.8,29,2,208,-256,3984,0
11:47.8,30,1,0,0,0,0
11:47.8,31,1,0,0,0,0
11:47.8,30,2,-1712,642,3568,0
11:47.8,31,2,0,0,0,0
11:47.8,73,1,0,0,0,0
11:47.8,73,2,0,0,0,8586
11:47.8,105,1,5612,2936,-14507,0
11:47.8,29,1,480,-3632,-1792,0
11:47.8,29,2,240,-192,4000,0
11:47.8,30,1,0,0,0,0
11:47.8,31,1,0,0,0,0
11:47.8,30,2,-1744,706,3840,0
11:47.8,31,2,0,0,0,0
11:47.8,73,1,0,0,0,0
11:47.8,73,2,0,0,0,8586
11:47.8,105,1,5630,2608,-14736,0
11:47.8,29,1,528,-3648,-1712,0
11:47.8,29,2,224,-176,4112,0
11:47.8,30,1,0,0,0,0
11:47.8,31,1,0,0,0,0
11:47.8,30,2,-1904,706,3792,0
11:47.8,31,2,0,0,0,0
11:47.8,73,1,0,0,0,0
11:47.8,29,2,240,-112,4016,0
11:47.8,30,1,0,0,0,0
11:47.8,31,1,0,0,0,0
11:47.8,30,2,-1744,754,3664,0
11:47.9,31,2,0,0,0,0
11:47.9,73,1,0,0,0,0
11:47.9,73,2,0,0,0,8587
11:47.9,73,1,0,0,0,0
11:47.9,73,2,0,0,0,8587
11:47.9,105,1,5667,2840,-14763,0
11:47.9,29,1,416,-3632,-1696,0
11:47.9,29,2,368,-176,4016,0
11:47.9,31,2,0,0,0,0
11:47.9,73,1,0,0,0,0
11:47.9,73,2,0,0,0,8587
11:47.9,105,1,5592,2787,-14555,0
11:47.9,29,1,416,-3552,-1808,0
11:47.9,29,2,272,-144,3952,0
11:47.9,30,1,0,0,0,0
11:47.9,31,1,0,0,0,0
11:47.9,30,2,-1808,706,3632,0
11:47.9,31,2,0,0,0,0
11:47.9,73,1,0,0,0,0
11:47.9,73,2,0,0,0,8584
11:47.9,105,1,5630,2627,-14482,0
11:47.9,29,1,560,-3744,-1824,0
11:47.9,29,2,112,-144,4032,0
11:47.9,30,1,0,0,0,0
11:47.9,31,1,0,0,0,0
11:47.9,30,2,-1712,738,3648,0
11:47.9,31,2,0,0,0,0
11:47.9,73,1,0,0,0,0
11:47.9,73,2,0,0,0,8584
11:47.9,105,1,5779,2883,-14403,0
11:47.9,29,1,464,-3632,-1760,0
11:47.9,73,1,0,0,0,0
11:47.9,73,2,0,0,0,8589
11:47.9,29,2,224,-208,4048,0
11:47.9,30,1,0,0,0,0
11:47.9,31,1,0,0,0,0
11:47.9,30,2,-1744,658,3584,0
11:47.9,29,1,496,-3696,-1680,0
11:47.9,29,2,272,-192,4000,0
11:47.9,30,1,0,0,0,0
11:47.9,31,1,0,0,0,0
11:47.9,30,2,-1824,722,3632,0
11:47.9,31,2,0,0,0,0
11:47.9,73,2,0,0,0,8588
11:47.9,105,1,5753,2659,-14530,0
11:47.9,29,1,352,-3584,-1872,0
11:47.9,29,2,256,-288,3904,0
11:48.1,30,1,0,0,0,0
11:48.1,31,1,0,0,0,0
11:48.1,30,2,-1776,754,3584,0
11:48.1,31,2,0,0,0,0
11:48.1,30,1,0,0,0,0
11:48.1,31,1,0,0,0,0
11:48.1,30,2,-1648,834,3856,0
11:48.1,31,2,0,0,0,0
11:48.1,73,1,0,0,0,0
11:48.1,29,1,448,-3584,-1744,0
11:48.1,30,1,0,0,0,0
