time,sensor_id,port,axes_x,axes_y,axes_z,temperature
1602601907714311,29,1,384,-3632,-1696,0
1602601907792081,29,2,368,-304,4128,0
1602601907807671,30,1,0,0,0,0
1602601907807671,31,1,0,0,0,0
1602601907807671,30,2,-1872,738,3728,0
1602601907807671,31,2,0,0,0,0
1602601907807671,73,1,0,0,0,0
1602601907807671,73,2,0,0,0,8588
1602601907807671,105,1,5460,2884,-14685,0
1602601907807671,29,1,416,-3696,-1744,0
1602601907807671,29,2,144,-160,3968,0
1602601907807671,30,1,0,0,0,0
1602601907807671,31,1,0,0,0,0
1602601907807671,30,2,-1680,818,3680,0
1602601907807671,31,2,0,0,0,0
1602601907807671,73,1,0,0,0,0
1602601907807671,73,2,0,0,0,8584
1602601907807671,105,1,5558,2827,-14574,0
1602601907807671,29,1,464,-3632,-1712,0
1602601907807671,29,2,208,-160,3856,0
1602601907807671,30,1,0,0,0,0
1602601907807671,31,1,0,0,0,0
1602601907807671,30,2,-1760,866,3456,0
1602601907807671,31,2,0,0,0,0
1602601907807671,73,1,0,0,0,0
1602601907807671,73,2,0,0,0,8584
1602601907807671,105,1,5396,2618,-14128,0
1602601907823327,29,1,464,-3568,-1872,0
1602601907823327,29,2,304,-144,3920,0
1602601907823327,30,1,0,0,0,0
1602601907823327,31,1,0,0,0,0
1602601907823327,30,2,-1936,706,3664,0
1602601907823327,31,2,0,0,0,0
1602601907823327,73,1,0,0,0,0
1602601907823327,73,2,0,0,0,8584
1602601907823327,30,2,-1728,658,3712,0
1602601907823327,31,2,0,0,0,0
1602601907823327,73,1,0,0,0,0
1602601907823327,73,2,0,0,0,8588
1602601907823327,105,1,5544,2809,-14625,0
1602601907823327,29,1,512,-3712,-1904,0
1602601907823327,29,2,192,-176,4064,0
1602601907823327,30,1,0,0,0,0
1602601907823327,31,1,0,0,0,0
1602601907823327,30,2,-1792,754,3696,0
1602601907823327,31,2,0,0,0,0
1602601907823327,73,1,0,0,0,0
1602601907823327,73,2,0,0,0,8588
1602601907823327,105,1,5410,2675,-14393,0
1602601907823327,29,1,496,-3648,-1744,0
1602601907823327,29,2,208,-256,3984,0
1602601907823327,30,1,0,0,0,0
1602601907838948,31,1,0,0,0,0
1602601907838948,30,2,-1712,642,3568,0
1602601907838948,31,2,0,0,0,0
1602601907838948,73,1,0,0,0,0
1602601907838948,73,2,0,0,0,8586
1602601907838948,105,1,5612,2936,-14507,0
1602601907838948,29,1,480,-3632,-1792,0
1602601907838948,29,2,240,-192,4000,0
1602601907838948,30,1,0,0,0,0
1602601907838948,31,1,0,0,0,0
1602601907838948,30,2,-1744,706,3840,0
1602601907838948,31,2,0,0,0,0
1602601907838948,73,1,0,0,0,0
1602601907838948,73,2,0,0,0,8586
1602601907838948,105,1,5630,2608,-14736,0
1602601907838948,29,1,528,-3648,-1712,0
1602601907838948,29,2,224,-176,4112,0
1602601907838948,30,1,0,0,0,0
1602601907838948,31,1,0,0,0,0
1602601907838948,30,2,-1904,706,3792,0
1602601907838948,31,2,0,0,0,0
1602601907838948,73,1,0,0,0,0
1602601907838948,29,2,240,-112,4016,0
1602601907838948,30,1,0,0,0,0
1602601907838948,31,1,0,0,0,0
1602601907838948,30,2,-1744,754,3664,0
1602601907854569,31,2,0,0,0,0
1602601907854569,73,1,0,0,0,0
1602601907854569,73,2,0,0,0,8587
1602601907854569,73,1,0,0,0,0
1602601907854569,73,2,0,0,0,8587
1602601907854569,105,1,5667,2840,-14763,0
1602601907854569,29,1,416,-3632,-1696,0
1602601907854569,29,2,368,-176,4016,0
1602601907854569,31,2,0,0,0,0
1602601907854569,73,1,0,0,0,0
1602601907854569,73,2,0,0,0,8587
1602601907854569,105,1,5592,2787,-14555,0
1602601907854569,29,1,416,-3552,-1808,0
1602601907854569,29,2,272,-144,3952,0
1602601907854569,30,1,0,0,0,0
